Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,facs_sorting,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,PASSAGE,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR2978165,RNA-Seq,51,474966774,PRJNA305280,SAMN04321810,300738528,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467753,not sorted,GSM1965480,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965480,human foreskin fibroblast,SRP067036
SRR2978166,RNA-Seq,51,532344426,PRJNA305280,SAMN04321811,350379107,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467754,not sorted,GSM1965481,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965481,human foreskin fibroblast,SRP067036
SRR2978167,RNA-Seq,51,819172506,PRJNA305280,SAMN04321812,523275328,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467755,not sorted,GSM1965482,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965482,human foreskin fibroblast,SRP067036
SRR2978168,RNA-Seq,51,780672045,PRJNA305280,SAMN04321813,502050034,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467756,not sorted,GSM1965483,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965483,human foreskin fibroblast,SRP067036
SRR2978169,RNA-Seq,51,529706655,PRJNA305280,SAMN04321814,340166542,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467757,not sorted,GSM1965484,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965484,human foreskin fibroblast,SRP067036
SRR2978170,RNA-Seq,51,606844104,PRJNA305280,SAMN04321815,388752464,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467758,not sorted,GSM1965485,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965485,human foreskin fibroblast,SRP067036
SRR2978171,RNA-Seq,51,507550266,PRJNA305280,SAMN04321817,327713879,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467759,not sorted,GSM1965486,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965486,human foreskin fibroblast,SRP067036
SRR2978172,RNA-Seq,51,649083630,PRJNA305280,SAMN04321818,416785486,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467760,not sorted,GSM1965487,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965487,human foreskin fibroblast,SRP067036
SRR2978173,RNA-Seq,51,477736176,PRJNA305280,SAMN04321819,308408866,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467761,not sorted,GSM1965488,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965488,human foreskin fibroblast,SRP067036
SRR2978174,RNA-Seq,51,381988623,PRJNA305280,SAMN04321820,232030589,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467762,not sorted,GSM1965489,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965489,human foreskin fibroblast,SRP067036
SRR2978175,RNA-Seq,51,369846288,PRJNA305280,SAMN04321821,226250203,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467763,not sorted,GSM1965490,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965490,human foreskin fibroblast,SRP067036
SRR2978176,RNA-Seq,51,490318488,PRJNA305280,SAMN04321822,296723757,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467764,not sorted,GSM1965491,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965491,human foreskin fibroblast,SRP067036
SRR2978177,RNA-Seq,51,403665153,PRJNA305280,SAMN04321823,248172814,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467765,not sorted,GSM1965492,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965492,human foreskin fibroblast,SRP067036
SRR2978179,RNA-Seq,51,451985868,PRJNA305280,SAMN04321824,275554641,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467766,not sorted,GSM1965493,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965493,human foreskin fibroblast,SRP067036
SRR2978180,RNA-Seq,51,526529508,PRJNA305280,SAMN04321825,318875369,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467767,not sorted,GSM1965494,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965494,human foreskin fibroblast,SRP067036
SRR2978181,RNA-Seq,51,711325968,PRJNA305280,SAMN04321826,458566701,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467768,not sorted,GSM1965495,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965495,human foreskin fibroblast,SRP067036
SRR2978182,RNA-Seq,51,347388744,PRJNA305280,SAMN04321827,231033299,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467769,not sorted,GSM1965496,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965496,human foreskin fibroblast,SRP067036
SRR2978183,RNA-Seq,51,543611040,PRJNA305280,SAMN04321828,351094137,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467770,not sorted,GSM1965497,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965497,human foreskin fibroblast,SRP067036
SRR2978184,RNA-Seq,51,428805654,PRJNA305280,SAMN04321829,288556004,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467771,not sorted,GSM1965498,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965498,human foreskin fibroblast,SRP067036
SRR2978185,RNA-Seq,51,581093439,PRJNA305280,SAMN04321830,374595396,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467772,not sorted,GSM1965499,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965499,human foreskin fibroblast,SRP067036
SRR2978186,RNA-Seq,51,551242731,PRJNA305280,SAMN04321831,356150811,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467773,not sorted,GSM1965500,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965500,human foreskin fibroblast,SRP067036
SRR2978187,RNA-Seq,51,391110585,PRJNA305280,SAMN04321834,240618885,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467774,not sorted,GSM1965501,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965501,human foreskin fibroblast,SRP067036
SRR2978188,RNA-Seq,51,362555940,PRJNA305280,SAMN04321835,222337880,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467775,not sorted,GSM1965502,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965502,human foreskin fibroblast,SRP067036
SRR2978189,RNA-Seq,51,213063975,PRJNA305280,SAMN04321746,131229875,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467776,not sorted,GSM1965503,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965503,human foreskin fibroblast,SRP067036
SRR2978190,RNA-Seq,51,356805792,PRJNA305280,SAMN04321747,218148430,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467777,not sorted,GSM1965504,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965504,human foreskin fibroblast,SRP067036
SRR2978191,RNA-Seq,51,401325681,PRJNA305280,SAMN04321748,244230616,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467778,not sorted,GSM1965505,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965505,human foreskin fibroblast,SRP067036
SRR2978192,RNA-Seq,51,389703240,PRJNA305280,SAMN04321749,236929747,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467779,not sorted,GSM1965506,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965506,human foreskin fibroblast,SRP067036
SRR2978193,RNA-Seq,51,724540680,PRJNA305280,SAMN04321750,466727272,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467780,not sorted,GSM1965507,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965507,human foreskin fibroblast,SRP067036
SRR2978194,RNA-Seq,51,338729811,PRJNA305280,SAMN04321832,226787558,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467781,not sorted,GSM1965508,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965508,human foreskin fibroblast,SRP067036
SRR2978195,RNA-Seq,51,538853148,PRJNA305280,SAMN04321833,347243032,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467782,not sorted,GSM1965509,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965509,human foreskin fibroblast,SRP067036
SRR2978196,RNA-Seq,51,600453294,PRJNA305280,SAMN04321751,386155558,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467783,not sorted,GSM1965510,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965510,human foreskin fibroblast,SRP067036
SRR2978197,RNA-Seq,51,618464454,PRJNA305280,SAMN04321752,399974895,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467784,not sorted,GSM1965511,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965511,human foreskin fibroblast,SRP067036
SRR2978198,RNA-Seq,51,545367021,PRJNA305280,SAMN04321753,354785319,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467785,not sorted,GSM1965512,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965512,human foreskin fibroblast,SRP067036
SRR2978199,RNA-Seq,51,365805048,PRJNA305280,SAMN04321754,222547662,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467786,not sorted,GSM1965513,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965513,human foreskin fibroblast,SRP067036
SRR2978200,RNA-Seq,51,369494439,PRJNA305280,SAMN04321755,226399570,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467787,not sorted,GSM1965514,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965514,human foreskin fibroblast,SRP067036
SRR2978201,RNA-Seq,51,402166875,PRJNA305280,SAMN04321756,245005772,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467788,not sorted,GSM1965515,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965515,human foreskin fibroblast,SRP067036
SRR2978202,RNA-Seq,51,351400506,PRJNA305280,SAMN04321757,216944621,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467789,not sorted,GSM1965516,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965516,human foreskin fibroblast,SRP067036
SRR2978203,RNA-Seq,51,406374885,PRJNA305280,SAMN04321758,248843744,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467790,not sorted,GSM1965517,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965517,human foreskin fibroblast,SRP067036
SRR2978204,RNA-Seq,51,458556453,PRJNA305280,SAMN04321759,279599889,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467791,not sorted,GSM1965518,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965518,human foreskin fibroblast,SRP067036
SRR2978205,RNA-Seq,51,295128279,PRJNA305280,SAMN04321760,196426281,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467792,not sorted,GSM1965519,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965519,human foreskin fibroblast,SRP067036
SRR2978206,RNA-Seq,51,273731484,PRJNA305280,SAMN04321761,167041204,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467793,not sorted,GSM1965520,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965520,human foreskin fibroblast,SRP067036
SRR2978207,RNA-Seq,51,265832145,PRJNA305280,SAMN04321762,193137370,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467794,not sorted,GSM1965521,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965521,human foreskin fibroblast,SRP067036
SRR2978208,RNA-Seq,51,331666107,PRJNA305280,SAMN04321763,209045744,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467795,not sorted,GSM1965522,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965522,human foreskin fibroblast,SRP067036
SRR2978209,RNA-Seq,51,233084382,PRJNA305280,SAMN04321764,166523849,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467796,not sorted,GSM1965523,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965523,human foreskin fibroblast,SRP067036
SRR2978210,RNA-Seq,51,555106797,PRJNA305280,SAMN04321765,333643587,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467797,not sorted,GSM1965524,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965524,human foreskin fibroblast,SRP067036
SRR2978211,RNA-Seq,51,425282625,PRJNA305280,SAMN04321766,256990087,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467798,not sorted,GSM1965525,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965525,human foreskin fibroblast,SRP067036
SRR2978212,RNA-Seq,51,638720634,PRJNA305280,SAMN04321767,381850913,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467799,not sorted,GSM1965526,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965526,human foreskin fibroblast,SRP067036
SRR2978213,RNA-Seq,51,447250722,PRJNA305280,SAMN04321768,271455757,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467800,not sorted,GSM1965527,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965527,human foreskin fibroblast,SRP067036
SRR2978214,RNA-Seq,51,480424335,PRJNA305280,SAMN04321769,288826886,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467801,not sorted,GSM1965528,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965528,human foreskin fibroblast,SRP067036
SRR2978215,RNA-Seq,51,525948516,PRJNA305280,SAMN04321770,327875779,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467802,not sorted,GSM1965529,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965529,human foreskin fibroblast,SRP067036
SRR2978216,RNA-Seq,51,482325717,PRJNA305280,SAMN04321771,291018619,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467803,not sorted,GSM1965530,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965530,human foreskin fibroblast,SRP067036
SRR2978217,RNA-Seq,51,329379471,PRJNA305280,SAMN04321772,208572764,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467804,not sorted,GSM1965531,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965531,human foreskin fibroblast,SRP067036
SRR2978218,RNA-Seq,51,571763346,PRJNA305280,SAMN04321773,342256613,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467805,not sorted,GSM1965532,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965532,human foreskin fibroblast,SRP067036
SRR2978219,RNA-Seq,51,434645001,PRJNA305280,SAMN04321774,263000392,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467806,not sorted,GSM1965533,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965533,human foreskin fibroblast,SRP067036
SRR2978220,RNA-Seq,51,459795345,PRJNA305280,SAMN04321775,282771541,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467807,not sorted,GSM1965534,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965534,human foreskin fibroblast,SRP067036
SRR2978221,RNA-Seq,51,514748967,PRJNA305280,SAMN04321566,311603908,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467808,not sorted,GSM1965535,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 8-12,ILLUMINA,2016-07-22T00:00:00Z,GSM1965535,human foreskin fibroblast,SRP067036
SRR2978222,RNA-Seq,51,225385575,PRJNA305280,SAMN04321567,146751013,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467809,FACS sorted by mCherry+,GSM1965536,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965536,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978223,RNA-Seq,51,167317332,PRJNA305280,SAMN04321568,115949328,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467810,FACS sorted by mCherry+,GSM1965537,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965537,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978224,RNA-Seq,51,292312518,PRJNA305280,SAMN04321569,176299618,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467811,FACS sorted by mCherry+,GSM1965538,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965538,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978225,RNA-Seq,51,187162452,PRJNA305280,SAMN04321570,132066154,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467812,FACS sorted by mCherry+,GSM1965539,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965539,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978226,RNA-Seq,51,175691532,PRJNA305280,SAMN04321571,109066719,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467813,FACS sorted by mCherry+,GSM1965540,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965540,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978227,RNA-Seq,51,185234448,PRJNA305280,SAMN04321572,128744398,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467814,FACS sorted by mCherry+,GSM1965541,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965541,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978228,RNA-Seq,51,259469742,PRJNA305280,SAMN04321573,171802121,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467815,FACS sorted by mCherry+,GSM1965542,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965542,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978229,RNA-Seq,51,201831123,PRJNA305280,SAMN04321574,124779283,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467816,FACS sorted by mCherry+,GSM1965543,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965543,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978230,RNA-Seq,51,134206908,PRJNA305280,SAMN04321575,80208353,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467817,FACS sorted by mCherry+,GSM1965544,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965544,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978231,RNA-Seq,51,206348652,PRJNA305280,SAMN04321576,134749680,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467818,FACS sorted by mCherry+,GSM1965545,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965545,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978232,RNA-Seq,51,282280920,PRJNA305280,SAMN04321577,173619331,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467819,FACS sorted by mCherry+,GSM1965546,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965546,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978233,RNA-Seq,51,240926142,PRJNA305280,SAMN04321578,159676072,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467820,FACS sorted by mCherry+,GSM1965547,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965547,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978234,RNA-Seq,51,354545421,PRJNA305280,SAMN04321579,212107694,GEO,public,"""fastq_sra""",s3,s3.us-east-1,SRX1467821,FACS sorted by mCherry+,GSM1965548,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965548,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978235,RNA-Seq,51,214442556,PRJNA305280,SAMN04321580,128573128,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467822,FACS sorted by mCherry+,GSM1965549,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965549,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978236,RNA-Seq,51,306102867,PRJNA305280,SAMN04321581,182492820,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467823,FACS sorted by mCherry+,GSM1965550,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965550,neuronal progenitor cells differentiated from H1,SRP067036
SRR2978237,RNA-Seq,51,352605330,PRJNA305280,SAMN04321582,209699812,GEO,public,"""sra_fastq""",s3,s3.us-east-1,SRX1467824,FACS sorted by mCherry+,GSM1965551,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,passage 30-35,ILLUMINA,2016-07-22T00:00:00Z,GSM1965551,neuronal progenitor cells differentiated from H1,SRP067036
